输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,Polling主机,Polling DNS成功,Polling解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误,Polling HTTP成功,Polling HTTP状态码,Polling HTTP耗时毫秒,Polling HTTP服务器,Polling HTTP标题,Polling HTTP错误,Polling HTTPS成功,Polling HTTPS状态码,Polling HTTPS耗时毫秒,Polling HTTPS服务器,Polling HTTPS标题,Polling HTTPS错误
51.38.113.4,51.38.113.4,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,51.38.113.4,polling.51.38.113.4,False,,True,198,,,True,209,,,True,212,,,True,417,220 2ol.pw Burp Collaborator Server ready,,True,427,220 2ol.pw Burp Collaborator Server ready,,False,1153,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '51.38.113.4'. (_ssl.c:992)",True,200,556,Burp Collaborator https://burpcollaborator.net/,,,True,200,3090,Burp Collaborator https://burpcollaborator.net/,,,False,,2262,,,"HTTPConnectionPool(host='polling.51.38.113.4', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.51.38.113.4', port=80): Failed to resolve 'polling.51.38.113.4' ([Errno 11001] getaddrinfo failed)""))",False,,601,,,"HTTPSConnectionPool(host='polling.51.38.113.4', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.51.38.113.4', port=443): Failed to resolve 'polling.51.38.113.4' ([Errno 11001] getaddrinfo failed)""))"
54.37.136.82,54.37.136.82,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,54.37.136.82,polling.54.37.136.82,False,,True,204,,,True,224,,,True,233,,,True,434,220 iuj.pw Burp Collaborator Server ready,,True,448,220 iuj.pw Burp Collaborator Server ready,,False,1105,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '54.37.136.82'. (_ssl.c:992)",True,200,552,Burp Collaborator https://burpcollaborator.net/,,,True,200,2725,Burp Collaborator https://burpcollaborator.net/,,,False,,3230,,,"HTTPConnectionPool(host='polling.54.37.136.82', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.54.37.136.82', port=80): Failed to resolve 'polling.54.37.136.82' ([Errno 11001] getaddrinfo failed)""))",False,,408,,,"HTTPSConnectionPool(host='polling.54.37.136.82', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.54.37.136.82', port=443): Failed to resolve 'polling.54.37.136.82' ([Errno 11001] getaddrinfo failed)""))"
77.42.29.165,77.42.29.165,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,77.42.29.165,polling.77.42.29.165,False,,True,256,,,True,233,,,True,234,,,True,458,220 poc.bdef.ninja Burp Collaborator Server ready,,True,561,220 poc.bdef.ninja Burp Collaborator Server ready,,False,1092,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '77.42.29.165'. (_ssl.c:992)",True,200,681,Burp Collaborator https://burpcollaborator.net/,,,True,200,2366,Burp Collaborator https://burpcollaborator.net/,,,False,,2889,,,"HTTPConnectionPool(host='polling.77.42.29.165', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.77.42.29.165', port=80): Failed to resolve 'polling.77.42.29.165' ([Errno 11001] getaddrinfo failed)""))",False,,3315,,,"HTTPSConnectionPool(host='polling.77.42.29.165', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.77.42.29.165', port=443): Failed to resolve 'polling.77.42.29.165' ([Errno 11001] getaddrinfo failed)""))"
37.187.54.26,37.187.54.26,失败,8,12,4,66.67,False,polling_dns|tcp:465|polling_http|polling_https,True,37.187.54.26,polling.37.187.54.26,False,,True,194,,,True,197,,,True,211,,,True,411,220 rrm.pw Burp Collaborator Server ready,,True,421,220 rrm.pw Burp Collaborator Server ready,,False,1248,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '37.187.54.26'. (_ssl.c:992)",True,200,1773,Burp Collaborator https://burpcollaborator.net/,,,True,200,5152,Burp Collaborator https://burpcollaborator.net/,,,False,,1030,,,"HTTPConnectionPool(host='polling.37.187.54.26', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.37.187.54.26', port=80): Failed to resolve 'polling.37.187.54.26' ([Errno 11001] getaddrinfo failed)""))",False,,2396,,,"HTTPSConnectionPool(host='polling.37.187.54.26', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.37.187.54.26', port=443): Failed to resolve 'polling.37.187.54.26' ([Errno 11001] getaddrinfo failed)""))"
47.128.249.247,47.128.249.247,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,47.128.249.247,polling.47.128.249.247,False,,False,2536,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,267,,,True,58,,,True,113,220 burp.cf.stagmoon.net Burp Collaborator Server ready,,True,113,220 burp.cf.stagmoon.net Burp Collaborator Server ready,,False,414,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '47.128.249.247'. (_ssl.c:992)",True,200,991,Burp Collaborator https://burpcollaborator.net/,,,True,200,1946,Burp Collaborator https://burpcollaborator.net/,,,False,,2110,,,"HTTPConnectionPool(host='polling.47.128.249.247', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.47.128.249.247', port=80): Failed to resolve 'polling.47.128.249.247' ([Errno 11001] getaddrinfo failed)""))",False,,3149,,,"HTTPSConnectionPool(host='polling.47.128.249.247', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.47.128.249.247', port=443): Failed to resolve 'polling.47.128.249.247' ([Errno 11001] getaddrinfo failed)""))"
18.156.85.44,18.156.85.44,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,18.156.85.44,polling.18.156.85.44,False,,False,2993,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,261,,,True,748,,,True,1158,220 collaborator.hydra1337.com Burp Collaborator Server ready,,True,428,220 collaborator.hydra1337.com Burp Collaborator Server ready,,False,2929,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '18.156.85.44'. (_ssl.c:992)",True,200,2877,Burp Collaborator https://burpcollaborator.net/,,,True,200,2976,Burp Collaborator https://burpcollaborator.net/,,,False,,462,,,"HTTPConnectionPool(host='polling.18.156.85.44', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.18.156.85.44', port=80): Failed to resolve 'polling.18.156.85.44' ([Errno 11001] getaddrinfo failed)""))",False,,428,,,"HTTPSConnectionPool(host='polling.18.156.85.44', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.18.156.85.44', port=443): Failed to resolve 'polling.18.156.85.44' ([Errno 11001] getaddrinfo failed)""))"
170.225.215.14,170.225.215.14,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,170.225.215.14,polling.170.225.215.14,False,,False,3061,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,594,,,True,495,,,True,765,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,True,427,220 fra.collaborator.x-force.io Burp Collaborator Server ready,,False,1474,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '170.225.215.14'. (_ssl.c:992)",True,200,1924,Burp Collaborator https://burpcollaborator.net/,,,True,200,5925,Burp Collaborator https://burpcollaborator.net/,,,False,,287,,,"HTTPConnectionPool(host='polling.170.225.215.14', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.170.225.215.14', port=80): Failed to resolve 'polling.170.225.215.14' ([Errno 11001] getaddrinfo failed)""))",False,,770,,,"HTTPSConnectionPool(host='polling.170.225.215.14', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.170.225.215.14', port=443): Failed to resolve 'polling.170.225.215.14' ([Errno 11001] getaddrinfo failed)""))"
35.178.84.50,35.178.84.50,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,35.178.84.50,polling.35.178.84.50,False,,False,3055,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,307,,,True,354,,,True,561,220 collab.omni.tools Burp Collaborator Server ready,,True,874,220 collab.omni.tools Burp Collaborator Server ready,,False,1181,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '35.178.84.50'. (_ssl.c:992)",True,200,3393,Burp Collaborator https://burpcollaborator.net/,,,True,200,5587,Burp Collaborator https://burpcollaborator.net/,,,False,,135,,,"HTTPConnectionPool(host='polling.35.178.84.50', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.35.178.84.50', port=80): Failed to resolve 'polling.35.178.84.50' ([Errno 11001] getaddrinfo failed)""))",False,,1037,,,"HTTPSConnectionPool(host='polling.35.178.84.50', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.35.178.84.50', port=443): Failed to resolve 'polling.35.178.84.50' ([Errno 11001] getaddrinfo failed)""))"
164.92.128.50,164.92.128.50,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,164.92.128.50,polling.164.92.128.50,False,,False,3437,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,704,,,True,569,,,True,749,220 dc-eu014.campnet.pl Burp Collaborator Server ready,,True,1046,220 dc-eu014.campnet.pl Burp Collaborator Server ready,,False,1736,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '164.92.128.50'. (_ssl.c:992)",True,200,1165,Burp Collaborator https://burpcollaborator.net/,,,True,200,6486,Burp Collaborator https://burpcollaborator.net/,,,False,,725,,,"HTTPConnectionPool(host='polling.164.92.128.50', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.164.92.128.50', port=80): Failed to resolve 'polling.164.92.128.50' ([Errno 11001] getaddrinfo failed)""))",False,,223,,,"HTTPSConnectionPool(host='polling.164.92.128.50', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.164.92.128.50', port=443): Failed to resolve 'polling.164.92.128.50' ([Errno 11001] getaddrinfo failed)""))"
15.160.236.199,15.160.236.199,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,15.160.236.199,polling.15.160.236.199,False,,False,3205,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,473,,,True,361,,,True,601,220 colab.mindedsecurity.net Burp Collaborator Server ready,,True,628,220 colab.mindedsecurity.net Burp Collaborator Server ready,,False,3929,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:992),True,200,1662,Burp Collaborator https://burpcollaborator.net/,,,True,200,5349,Burp Collaborator https://burpcollaborator.net/,,,False,,567,,,"HTTPConnectionPool(host='polling.15.160.236.199', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.15.160.236.199', port=80): Failed to resolve 'polling.15.160.236.199' ([Errno 11001] getaddrinfo failed)""))",False,,225,,,"HTTPSConnectionPool(host='polling.15.160.236.199', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.15.160.236.199', port=443): Failed to resolve 'polling.15.160.236.199' ([Errno 11001] getaddrinfo failed)""))"
