输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,Polling主机,Polling DNS成功,Polling解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误,Polling HTTP成功,Polling HTTP状态码,Polling HTTP耗时毫秒,Polling HTTP服务器,Polling HTTP标题,Polling HTTP错误,Polling HTTPS成功,Polling HTTPS状态码,Polling HTTPS耗时毫秒,Polling HTTPS服务器,Polling HTTPS标题,Polling HTTPS错误
52.11.119.103,52.11.119.103,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,52.11.119.103,polling.52.11.119.103,False,,False,2962,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,275,,,True,555,,,True,754,220 bf.gy Burp Collaborator Server ready,,True,589,220 bf.gy Burp Collaborator Server ready,,False,2758,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '52.11.119.103'. (_ssl.c:992)",True,200,2710,Burp Collaborator https://burpcollaborator.net/,,,True,200,4311,Burp Collaborator https://burpcollaborator.net/,,,False,,980,,,"HTTPConnectionPool(host='polling.52.11.119.103', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.52.11.119.103', port=80): Failed to resolve 'polling.52.11.119.103' ([Errno 11001] getaddrinfo failed)""))",False,,296,,,"HTTPSConnectionPool(host='polling.52.11.119.103', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.52.11.119.103', port=443): Failed to resolve 'polling.52.11.119.103' ([Errno 11001] getaddrinfo failed)""))"
13.124.46.98,13.124.46.98,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,13.124.46.98,polling.13.124.46.98,False,,False,2605,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,278,,,True,113,,,True,178,220 burp.repentest.com Burp Collaborator Server ready,,True,264,220 burp.repentest.com Burp Collaborator Server ready,,False,1129,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '13.124.46.98'. (_ssl.c:992)",True,200,771,Burp Collaborator https://burpcollaborator.net/,,,True,200,10173,Burp Collaborator https://burpcollaborator.net/,,,False,,961,,,"HTTPConnectionPool(host='polling.13.124.46.98', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.13.124.46.98', port=80): Failed to resolve 'polling.13.124.46.98' ([Errno 11001] getaddrinfo failed)""))",False,,1085,,,"HTTPSConnectionPool(host='polling.13.124.46.98', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.13.124.46.98', port=443): Failed to resolve 'polling.13.124.46.98' ([Errno 11001] getaddrinfo failed)""))"
44.252.219.68,44.252.219.68,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,44.252.219.68,polling.44.252.219.68,False,,False,2922,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,281,,,True,207,,,True,619,220 collab.seq.cx Burp Collaborator Server ready,,True,493,220 collab.seq.cx Burp Collaborator Server ready,,False,2152,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '44.252.219.68'. (_ssl.c:992)",True,200,4450,Burp Collaborator https://burpcollaborator.net/,,,True,200,6750,Burp Collaborator https://burpcollaborator.net/,,,False,,9,,,"HTTPConnectionPool(host='polling.44.252.219.68', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.44.252.219.68', port=80): Failed to resolve 'polling.44.252.219.68' ([Errno 11001] getaddrinfo failed)""))",False,,11,,,"HTTPSConnectionPool(host='polling.44.252.219.68', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.44.252.219.68', port=443): Failed to resolve 'polling.44.252.219.68' ([Errno 11001] getaddrinfo failed)""))"
67.207.72.191,67.207.72.191,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,67.207.72.191,polling.67.207.72.191,False,,False,3436,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,717,,,True,592,,,True,748,220 collab.invokeshell.net Burp Collaborator Server ready,,True,1134,220 collab.invokeshell.net Burp Collaborator Server ready,,False,3893,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '67.207.72.191'. (_ssl.c:992)",True,200,3311,Burp Collaborator https://burpcollaborator.net/,,,True,200,3941,Burp Collaborator https://burpcollaborator.net/,,,False,,5,,,"HTTPConnectionPool(host='polling.67.207.72.191', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.67.207.72.191', port=80): Failed to resolve 'polling.67.207.72.191' ([Errno 11001] getaddrinfo failed)""))",False,,3,,,"HTTPSConnectionPool(host='polling.67.207.72.191', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.67.207.72.191', port=443): Failed to resolve 'polling.67.207.72.191' ([Errno 11001] getaddrinfo failed)""))"
103.16.130.58,103.16.130.58,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,103.16.130.58,polling.103.16.130.58,False,,False,5153,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,366,,,True,838,,,True,2105,220 c.tn2.au Burp Collaborator Server ready,,True,1146,220 c.tn2.au Burp Collaborator Server ready,,False,3321,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '103.16.130.58'. (_ssl.c:992)",True,200,910,Burp Collaborator https://burpcollaborator.net/,,,True,200,4378,Burp Collaborator https://burpcollaborator.net/,,,False,,131,,,"HTTPConnectionPool(host='polling.103.16.130.58', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.103.16.130.58', port=80): Failed to resolve 'polling.103.16.130.58' ([Errno 11001] getaddrinfo failed)""))",False,,712,,,"HTTPSConnectionPool(host='polling.103.16.130.58', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.103.16.130.58', port=443): Failed to resolve 'polling.103.16.130.58' ([Errno 11001] getaddrinfo failed)""))"
13.236.11.163,13.236.11.163,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,13.236.11.163,polling.13.236.11.163,False,,False,6093,,timed out,True,648,,,True,1053,,,True,910,220 c.ccxsta.com Burp Collaborator Server ready,,True,619,220 c.ccxsta.com Burp Collaborator Server ready,,False,4091,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '13.236.11.163'. (_ssl.c:992)",True,200,1699,Burp Collaborator https://burpcollaborator.net/,,,True,200,3342,Burp Collaborator https://burpcollaborator.net/,,,False,,893,,,"HTTPConnectionPool(host='polling.13.236.11.163', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.13.236.11.163', port=80): Failed to resolve 'polling.13.236.11.163' ([Errno 11001] getaddrinfo failed)""))",False,,320,,,"HTTPSConnectionPool(host='polling.13.236.11.163', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.13.236.11.163', port=443): Failed to resolve 'polling.13.236.11.163' ([Errno 11001] getaddrinfo failed)""))"
194.156.84.21,194.156.84.21,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,194.156.84.21,polling.194.156.84.21,False,,False,6226,,timed out,True,1420,,,True,421,,,True,1494,220 gdxd.de Burp Collaborator Server ready,,True,1603,220 gdxd.de Burp Collaborator Server ready,,False,3126,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '194.156.84.21'. (_ssl.c:992)",True,200,1075,Burp Collaborator https://burpcollaborator.net/,,,True,200,3065,Burp Collaborator https://burpcollaborator.net/,,,False,,810,,,"HTTPConnectionPool(host='polling.194.156.84.21', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.194.156.84.21', port=80): Failed to resolve 'polling.194.156.84.21' ([Errno 11001] getaddrinfo failed)""))",False,,180,,,"HTTPSConnectionPool(host='polling.194.156.84.21', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.194.156.84.21', port=443): Failed to resolve 'polling.194.156.84.21' ([Errno 11001] getaddrinfo failed)""))"
54.146.38.135,54.146.38.135,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,54.146.38.135,polling.54.146.38.135,False,,False,6074,,timed out,True,1149,,,True,1848,,,True,1306,220 col.vatst.site Burp Collaborator Server ready,,True,775,220 col.vatst.site Burp Collaborator Server ready,,False,2482,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '54.146.38.135'. (_ssl.c:992)",True,200,1370,Burp Collaborator https://burpcollaborator.net/,,,True,200,3074,Burp Collaborator https://burpcollaborator.net/,,,False,,476,,,"HTTPConnectionPool(host='polling.54.146.38.135', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.54.146.38.135', port=80): Failed to resolve 'polling.54.146.38.135' ([Errno 11001] getaddrinfo failed)""))",False,,812,,,"HTTPSConnectionPool(host='polling.54.146.38.135', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.54.146.38.135', port=443): Failed to resolve 'polling.54.146.38.135' ([Errno 11001] getaddrinfo failed)""))"
136.115.216.28,136.115.216.28,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,136.115.216.28,polling.136.115.216.28,False,,False,3448,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,985,,,True,463,,,True,750,220 burp.attack.live Burp Collaborator Server ready,,True,1132,220 burp.attack.live Burp Collaborator Server ready,,False,5263,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '136.115.216.28'. (_ssl.c:992)",True,200,2827,Burp Collaborator https://burpcollaborator.net/,,,True,200,3358,Burp Collaborator https://burpcollaborator.net/,,,False,,887,,,"HTTPConnectionPool(host='polling.136.115.216.28', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.136.115.216.28', port=80): Failed to resolve 'polling.136.115.216.28' ([Errno 11001] getaddrinfo failed)""))",False,,301,,,"HTTPSConnectionPool(host='polling.136.115.216.28', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.136.115.216.28', port=443): Failed to resolve 'polling.136.115.216.28' ([Errno 11001] getaddrinfo failed)""))"
178.62.237.214,178.62.237.214,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,178.62.237.214,polling.178.62.237.214,False,,False,6236,,timed out,True,450,,,True,618,,,True,1192,220 bcollaborator.binsec.cloud Burp Collaborator Server ready,,True,728,220 bcollaborator.binsec.cloud Burp Collaborator Server ready,,False,5832,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '178.62.237.214'. (_ssl.c:992)",True,200,928,Burp Collaborator https://burpcollaborator.net/,,,True,200,3607,Burp Collaborator https://burpcollaborator.net/,,,False,,165,,,"HTTPConnectionPool(host='polling.178.62.237.214', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.178.62.237.214', port=80): Failed to resolve 'polling.178.62.237.214' ([Errno 11001] getaddrinfo failed)""))",False,,243,,,"HTTPSConnectionPool(host='polling.178.62.237.214', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.178.62.237.214', port=443): Failed to resolve 'polling.178.62.237.214' ([Errno 11001] getaddrinfo failed)""))"
138.68.154.32,138.68.154.32,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,138.68.154.32,polling.138.68.154.32,False,,False,6215,,timed out,True,788,,,True,686,,,True,1490,220 c.vii.is Burp Collaborator Server ready,,True,1051,220 c.vii.is Burp Collaborator Server ready,,False,3689,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '138.68.154.32'. (_ssl.c:992)",True,200,889,Burp Collaborator https://burpcollaborator.net/,,,True,200,4821,Burp Collaborator https://burpcollaborator.net/,,,False,,25,,,"HTTPConnectionPool(host='polling.138.68.154.32', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.138.68.154.32', port=80): Failed to resolve 'polling.138.68.154.32' ([Errno 11001] getaddrinfo failed)""))",False,,222,,,"HTTPSConnectionPool(host='polling.138.68.154.32', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.138.68.154.32', port=443): Failed to resolve 'polling.138.68.154.32' ([Errno 11001] getaddrinfo failed)""))"
213.164.30.187,213.164.30.187,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,213.164.30.187,polling.213.164.30.187,False,,False,6379,,timed out,True,1971,,,True,630,,,True,599,220 bc-hackner-security.com Burp Collaborator Server ready,,True,1610,220 bc-hackner-security.com Burp Collaborator Server ready,,False,3687,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '213.164.30.187'. (_ssl.c:992)",True,200,1027,Burp Collaborator https://burpcollaborator.net/,,,True,200,4101,Burp Collaborator https://burpcollaborator.net/,,,False,,66,,,"HTTPConnectionPool(host='polling.213.164.30.187', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.213.164.30.187', port=80): Failed to resolve 'polling.213.164.30.187' ([Errno 11001] getaddrinfo failed)""))",False,,6,,,"HTTPSConnectionPool(host='polling.213.164.30.187', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.213.164.30.187', port=443): Failed to resolve 'polling.213.164.30.187' ([Errno 11001] getaddrinfo failed)""))"
