输入值,规范化URL,协议,主机,DNS成功,解析IP列表,探测成功,HTTP状态码,最终URL,耗时毫秒,内容类型,服务器,标题,错误,全绿
52.220.87.115,https://52.220.87.115,https,52.220.87.115,True,52.220.87.115,True,200,https://52.220.87.115/,2663,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
54.36.236.69,https://54.36.236.69,https,54.36.236.69,True,54.36.236.69,True,200,https://54.36.236.69/,2853,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
170.225.215.14,https://170.225.215.14,https,170.225.215.14,True,170.225.215.14,True,200,https://170.225.215.14/,2916,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
81.95.8.184,https://81.95.8.184,https,81.95.8.184,True,81.95.8.184,True,200,https://81.95.8.184/,2895,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
81.95.8.186,https://81.95.8.186,https,81.95.8.186,True,81.95.8.186,True,200,https://81.95.8.186/,3080,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
217.154.124.212,https://217.154.124.212,https,217.154.124.212,True,217.154.124.212,True,200,https://217.154.124.212/,3157,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
https://116.202.121.27,https://116.202.121.27,https,116.202.121.27,True,116.202.121.27,True,200,https://116.202.121.27/,3127,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
85.255.10.103,https://85.255.10.103,https,85.255.10.103,True,85.255.10.103,True,200,https://85.255.10.103/,3167,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
15.160.236.199,https://15.160.236.199,https,15.160.236.199,True,15.160.236.199,True,200,https://15.160.236.199/,3327,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
https://199.247.7.198:8443,https://199.247.7.198:8443,https,199.247.7.198,True,199.247.7.198,True,200,https://199.247.7.198:8443/,3395,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
195.154.56.193,https://195.154.56.193,https,195.154.56.193,True,195.154.56.193,True,200,https://195.154.56.193/,3362,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
3.211.23.115,https://3.211.23.115,https,3.211.23.115,True,3.211.23.115,True,200,https://3.211.23.115/,3383,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
34.237.54.93,https://34.237.54.93,https,34.237.54.93,True,34.237.54.93,True,200,https://34.237.54.93/,3384,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
51.83.99.132,https://51.83.99.132,https,51.83.99.132,True,51.83.99.132,True,200,https://51.83.99.132/,3363,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
https://104.248.231.250:8443,https://104.248.231.250:8443,https,104.248.231.250,True,104.248.231.250,True,200,https://104.248.231.250:8443/,3429,text/html,,,,True
67.207.72.191,https://67.207.72.191,https,67.207.72.191,True,67.207.72.191,True,200,https://67.207.72.191/,3432,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
138.197.185.114,https://138.197.185.114,https,138.197.185.114,True,138.197.185.114,True,200,https://138.197.185.114/,3349,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
162.243.108.120,https://162.243.108.120,https,162.243.108.120,True,162.243.108.120,True,200,https://162.243.108.120/,3367,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
164.92.128.50,https://164.92.128.50,https,164.92.128.50,True,164.92.128.50,True,200,https://164.92.128.50/,3431,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
213.164.30.187,https://213.164.30.187,https,213.164.30.187,True,213.164.30.187,True,200,https://213.164.30.187/,3433,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
3.231.45.135,https://3.231.45.135,https,3.231.45.135,True,3.231.45.135,True,200,https://3.231.45.135/,3395,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
137.184.242.250,https://137.184.242.250,https,137.184.242.250,True,137.184.242.250,True,200,https://137.184.242.250/,3460,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
35.182.250.134,https://35.182.250.134,https,35.182.250.134,True,35.182.250.134,True,200,https://35.182.250.134/,3461,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
57.133.99.133,https://57.133.99.133,https,57.133.99.133,True,57.133.99.133,True,200,https://57.133.99.133/,3406,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
34.23.244.241,https://34.23.244.241,https,34.23.244.241,True,34.23.244.241,True,200,https://34.23.244.241/,3419,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
https://mburpcollab.com,https://mburpcollab.com,https,mburpcollab.com,True,34.45.0.22,True,200,https://mburpcollab.com/,1968,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
167.71.68.76,https://167.71.68.76,https,167.71.68.76,True,167.71.68.76,True,200,https://167.71.68.76/,3578,text/html,Burp Collaborator https://burpcollaborator.net/,,,True
