输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,Polling主机,Polling DNS成功,Polling解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误,Polling HTTP成功,Polling HTTP状态码,Polling HTTP耗时毫秒,Polling HTTP服务器,Polling HTTP标题,Polling HTTP错误,Polling HTTPS成功,Polling HTTPS状态码,Polling HTTPS耗时毫秒,Polling HTTPS服务器,Polling HTTPS标题,Polling HTTPS错误
23.239.11.176,23.239.11.176,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,23.239.11.176,polling.23.239.11.176,False,,False,3414,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,298,,,True,290,,,True,519,220 pscollab.com Burp Collaborator Server ready,,True,604,220 pscollab.com Burp Collaborator Server ready,,False,1272,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '23.239.11.176'. (_ssl.c:992)",True,200,796,Burp Collaborator https://burpcollaborator.net/,,,True,200,2396,Burp Collaborator https://burpcollaborator.net/,,,False,,61,,,"HTTPConnectionPool(host='polling.23.239.11.176', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.23.239.11.176', port=80): Failed to resolve 'polling.23.239.11.176' ([Errno 11001] getaddrinfo failed)""))",False,,6,,,"HTTPSConnectionPool(host='polling.23.239.11.176', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.23.239.11.176', port=443): Failed to resolve 'polling.23.239.11.176' ([Errno 11001] getaddrinfo failed)""))"
143.244.212.178,143.244.212.178,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,143.244.212.178,polling.143.244.212.178,False,,False,3534,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,363,,,True,353,,,True,591,220 c.c2.rip Burp Collaborator Server ready,,True,593,220 c.c2.rip Burp Collaborator Server ready,,False,1119,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '143.244.212.178'. (_ssl.c:992)",True,200,1147,Burp Collaborator https://burpcollaborator.net/,,,True,200,2278,Burp Collaborator https://burpcollaborator.net/,,,False,,5,,,"HTTPConnectionPool(host='polling.143.244.212.178', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.143.244.212.178', port=80): Failed to resolve 'polling.143.244.212.178' ([Errno 11001] getaddrinfo failed)""))",False,,2,,,"HTTPSConnectionPool(host='polling.143.244.212.178', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.143.244.212.178', port=443): Failed to resolve 'polling.143.244.212.178' ([Errno 11001] getaddrinfo failed)""))"
31.44.88.158,31.44.88.158,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,31.44.88.158,polling.31.44.88.158,False,,False,6103,,timed out,True,206,,,True,269,,,True,626,220 ssrf.pro Burp Collaborator Server ready,,True,406,220 ssrf.pro Burp Collaborator Server ready,,False,1346,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '31.44.88.158'. (_ssl.c:992)",True,200,539,Burp Collaborator https://burpcollaborator.net/,,,True,200,2181,Burp Collaborator https://burpcollaborator.net/,,,False,,205,,,"HTTPConnectionPool(host='polling.31.44.88.158', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.31.44.88.158', port=80): Failed to resolve 'polling.31.44.88.158' ([Errno 11001] getaddrinfo failed)""))",False,,6,,,"HTTPSConnectionPool(host='polling.31.44.88.158', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.31.44.88.158', port=443): Failed to resolve 'polling.31.44.88.158' ([Errno 11001] getaddrinfo failed)""))"
16.171.164.1,16.171.164.1,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,16.171.164.1,polling.16.171.164.1,False,,False,6024,,timed out,True,273,,,True,281,,,True,549,220 collaborator.assured.se Burp Collaborator Server ready,,True,598,220 collaborator.assured.se Burp Collaborator Server ready,,False,717,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '16.171.164.1'. (_ssl.c:992)",True,200,490,Burp Collaborator https://burpcollaborator.net/,,,True,200,3065,Burp Collaborator https://burpcollaborator.net/,,,False,,26,,,"HTTPConnectionPool(host='polling.16.171.164.1', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.16.171.164.1', port=80): Failed to resolve 'polling.16.171.164.1' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.16.171.164.1', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.16.171.164.1', port=443): Failed to resolve 'polling.16.171.164.1' ([Errno 11001] getaddrinfo failed)""))"
40.71.163.162,40.71.163.162,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,40.71.163.162,polling.40.71.163.162,False,,False,3319,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,340,,,True,349,,,True,560,220 bmoburpcollab.ca Burp Collaborator Server ready,,True,693,220 bmoburpcollab.ca Burp Collaborator Server ready,,False,1120,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '40.71.163.162'. (_ssl.c:992)",True,200,1087,Burp Collaborator https://burpcollaborator.net/,,,True,200,1487,Burp Collaborator https://burpcollaborator.net/,,,False,,26,,,"HTTPConnectionPool(host='polling.40.71.163.162', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.40.71.163.162', port=80): Failed to resolve 'polling.40.71.163.162' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.40.71.163.162', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.40.71.163.162', port=443): Failed to resolve 'polling.40.71.163.162' ([Errno 11001] getaddrinfo failed)""))"
52.220.87.115,52.220.87.115,失败,5,12,7,41.67,False,polling_dns|tcp:53|tcp:25|tcp:587|tcp:465|polling_http|polling_https,True,52.220.87.115,polling.52.220.87.115,False,,False,6035,,timed out,True,246,,,True,119,,,False,6041,,timed out,False,6027,,timed out,False,6109,,timed out,True,200,172,Burp Collaborator https://burpcollaborator.net/,,,True,200,390,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.52.220.87.115', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.52.220.87.115', port=80): Failed to resolve 'polling.52.220.87.115' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.52.220.87.115', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.52.220.87.115', port=443): Failed to resolve 'polling.52.220.87.115' ([Errno 11001] getaddrinfo failed)""))"
44.207.126.65,44.207.126.65,失败,5,12,7,41.67,False,polling_dns|tcp:53|tcp:25|tcp:587|tcp:465|polling_http|polling_https,True,44.207.126.65,polling.44.207.126.65,False,,False,3614,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,376,,,True,319,,,False,6024,,timed out,False,6074,,timed out,False,6006,,timed out,True,200,1317,Burp Collaborator https://burpcollaborator.net/,,,True,200,1576,Burp Collaborator https://burpcollaborator.net/,,,False,,1,,,"HTTPConnectionPool(host='polling.44.207.126.65', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.44.207.126.65', port=80): Failed to resolve 'polling.44.207.126.65' ([Errno 11001] getaddrinfo failed)""))",False,,1,,,"HTTPSConnectionPool(host='polling.44.207.126.65', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.44.207.126.65', port=443): Failed to resolve 'polling.44.207.126.65' ([Errno 11001] getaddrinfo failed)""))"
collab.cipherix.fi,collab.cipherix.fi,通过但有警告,11,12,1,91.67,False,tcp:53,True,164.90.180.119,polling.collab.cipherix.fi,True,164.90.180.119,False,6084,,timed out,True,385,,,True,394,,,True,688,220 collab.cipherix.fi Burp Collaborator Server ready,,True,610,220 collab.cipherix.fi Burp Collaborator Server ready,,True,1626,220 collab.cipherix.fi Burp Collaborator Server ready,,True,200,738,Burp Collaborator https://burpcollaborator.net/,,,True,200,2206,Burp Collaborator https://burpcollaborator.net/,,,True,200,1294,Burp Collaborator https://burpcollaborator.net/,,,True,200,1155,Burp Collaborator https://burpcollaborator.net/,,
https://b.mburpcollab.com,b.mburpcollab.com,通过但有警告,11,12,1,91.67,False,tcp:53,True,34.45.0.22,polling.b.mburpcollab.com,True,34.45.0.22,False,6077,,timed out,True,428,,,True,374,,,True,763,220 b.mburpcollab.com Burp Collaborator Server ready,,True,781,220 b.mburpcollab.com Burp Collaborator Server ready,,True,1563,220 b.mburpcollab.com Burp Collaborator Server ready,,True,200,1434,Burp Collaborator https://burpcollaborator.net/,,,True,200,2007,Burp Collaborator https://burpcollaborator.net/,,,True,200,2306,Burp Collaborator https://burpcollaborator.net/,,,True,200,1335,Burp Collaborator https://burpcollaborator.net/,,
149.210.173.3,149.210.173.3,失败,7,12,5,58.33,False,polling_dns|tcp:53|tcp:465|polling_http|polling_https,True,149.210.173.3,polling.149.210.173.3,False,,False,4183,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,571,,,True,478,,,True,819,220 collab.vpn.s-force.nl Burp Collaborator Server ready,,True,880,220 collab.vpn.s-force.nl Burp Collaborator Server ready,,False,1449,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '149.210.173.3'. (_ssl.c:992)",True,200,1631,Burp Collaborator https://burpcollaborator.net/,,,True,200,1820,Burp Collaborator https://burpcollaborator.net/,,,False,,14,,,"HTTPConnectionPool(host='polling.149.210.173.3', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='polling.149.210.173.3', port=80): Failed to resolve 'polling.149.210.173.3' ([Errno 11001] getaddrinfo failed)""))",False,,3,,,"HTTPSConnectionPool(host='polling.149.210.173.3', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='polling.149.210.173.3', port=443): Failed to resolve 'polling.149.210.173.3' ([Errno 11001] getaddrinfo failed)""))"
