输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误
162.243.108.120,162.243.108.120,通过但有警告,8,9,1,88.89,False,tcp:465,True,162.243.108.120,True,227,,,True,306,,,True,292,,,True,486,220 ywrzzg.com Burp Collaborator Server ready,,True,461,220 ywrzzg.com Burp Collaborator Server ready,,False,2306,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '162.243.108.120'. (_ssl.c:992)",True,200,459,Burp Collaborator https://burpcollaborator.net/,,,True,200,1082,Burp Collaborator https://burpcollaborator.net/,,
52.220.87.115,52.220.87.115,失败,5,9,4,55.56,False,tcp:53|tcp:25|tcp:587|tcp:465,True,52.220.87.115,False,6001,,timed out,True,240,,,True,164,,,False,6007,,timed out,False,6010,,timed out,False,6004,,timed out,True,200,167,Burp Collaborator https://burpcollaborator.net/,,,True,200,315,Burp Collaborator https://burpcollaborator.net/,,
https://cl.ara-sec.de,cl.ara-sec.de,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:587,True,116.202.121.27,False,6003,,timed out,True,199,,,True,190,,,True,392,220 cl.ara-sec.de Burp Collaborator Server ready,,False,6011,,timed out,True,1113,220 cl.ara-sec.de Burp Collaborator Server ready,,True,200,390,Burp Collaborator https://burpcollaborator.net/,,,True,200,822,Burp Collaborator https://burpcollaborator.net/,,
188.126.71.97:445,188.126.71.97,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,188.126.71.97,False,3307,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,251,,,True,270,,,True,457,220 collab.kjelltrell.com Burp Collaborator Server ready,,True,1481,220 collab.kjelltrell.com Burp Collaborator Server ready,,False,771,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '188.126.71.97'. (_ssl.c:992)",True,200,499,Burp Collaborator https://burpcollaborator.net/,,,True,200,1158,Burp Collaborator https://burpcollaborator.net/,,
81.95.8.184,81.95.8.184,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,81.95.8.184,False,3105,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,213,,,True,1285,,,True,398,220 col-webtest.nsd.li Burp Collaborator Server ready,,True,415,220 col-webtest.nsd.li Burp Collaborator Server ready,,False,997,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '81.95.8.184'. (_ssl.c:992)",True,200,520,Burp Collaborator https://burpcollaborator.net/,,,True,200,1146,Burp Collaborator https://burpcollaborator.net/,,
94.130.187.49,94.130.187.49,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,94.130.187.49,False,3090,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,200,,,True,222,,,True,640,220 sallerlab.net Burp Collaborator Server ready,,True,430,220 sallerlab.net Burp Collaborator Server ready,,False,628,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '94.130.187.49'. (_ssl.c:992)",True,200,469,Burp Collaborator https://burpcollaborator.net/,,,True,200,1237,Burp Collaborator https://burpcollaborator.net/,,
85.255.10.103,85.255.10.103,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,85.255.10.103,False,3061,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,197,,,True,224,,,True,445,220 testdnscoll.testlt.pl Burp Collaborator Server ready,,True,497,220 testdnscoll.testlt.pl Burp Collaborator Server ready,,False,785,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '85.255.10.103'. (_ssl.c:992)",True,200,605,Burp Collaborator https://burpcollaborator.net/,,,True,200,1096,Burp Collaborator https://burpcollaborator.net/,,
86.126.134.69,86.126.134.69,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,86.126.134.69,False,6001,,timed out,True,219,,,True,214,,,True,446,220 c.wwx.ro Burp Collaborator Server ready,,True,446,220 c.wwx.ro Burp Collaborator Server ready,,False,2131,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '86.126.134.69'. (_ssl.c:992)",True,200,491,Burp Collaborator https://burpcollaborator.net/,,,True,200,2708,Burp Collaborator https://burpcollaborator.net/,,
54.36.236.69,54.36.236.69,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,54.36.236.69,False,6012,,timed out,True,317,,,True,202,,,True,375,220 colla.hnsec.it Burp Collaborator Server ready,,True,388,220 colla.hnsec.it Burp Collaborator Server ready,,False,530,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '54.36.236.69'. (_ssl.c:992)",True,200,399,Burp Collaborator https://burpcollaborator.net/,,,True,200,992,Burp Collaborator https://burpcollaborator.net/,,
138.197.185.114,138.197.185.114,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,138.197.185.114,False,3283,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,411,,,True,314,,,True,624,220 burp.sysadvlab.work Burp Collaborator Server ready,,True,489,220 burp.sysadvlab.work Burp Collaborator Server ready,,False,899,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '138.197.185.114'. (_ssl.c:992)",True,200,554,Burp Collaborator https://burpcollaborator.net/,,,True,200,1162,Burp Collaborator https://burpcollaborator.net/,,
159.203.50.113,159.203.50.113,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,159.203.50.113,False,3312,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,227,,,True,283,,,True,547,220 c.p0w.cc Burp Collaborator Server ready,,True,481,220 c.p0w.cc Burp Collaborator Server ready,,False,967,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '159.203.50.113'. (_ssl.c:992)",True,200,487,Burp Collaborator https://burpcollaborator.net/,,,True,200,1210,Burp Collaborator https://burpcollaborator.net/,,
34.45.0.22,34.45.0.22,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,34.45.0.22,False,6001,,timed out,True,282,,,True,271,,,True,542,220 b.mburpcollab.com Burp Collaborator Server ready,,True,571,220 b.mburpcollab.com Burp Collaborator Server ready,,False,917,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '34.45.0.22'. (_ssl.c:992)",True,200,729,Burp Collaborator https://burpcollaborator.net/,,,True,200,1534,Burp Collaborator https://burpcollaborator.net/,,
